,title,product_code,health,ingredients,weight,price,image
37,Sweet Chamomile Escape                       50G,SKU: BLD45,1. Helps fight anxiety 2. Depression 3. Cures insomnia 4. Aids skin disorders 5. Improves memory 6. Relieves stress 7. Boosts immunity 8. Good for eyes,"German Chamomile, Yellow Chrysanthemum petals, Blue Corn petals, Rosemary","Tea Tin, 50 gms = 34 cups",Rs. 650 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SweetChamomile_1000x.jpg?v=1597054047
38,Soothsayer's Chant Tea Blend,SKU: BLD37,"Good for nervous system, Lowers cholesterol, Good for digestion, Prevents insomnia, Anti-depression, Aids skin, Stomach disorders, Promotes relaxation.","Organic German Chamomile, Lemongrass, Mint","Tea Pouch, 50 gms = 34 cups",Rs. 750 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD37_1000x.png?v=1573887685
40,"Indian Peppermint Herbal Loose Leaf Tea Tin,               100G",SKU: HT06,"Improves digestion, Cures bad breath, Aids weight loss, Eliminates inflammation, Balances sleep patterns.",Whole leaves Herbal Tea,100 gms | 100 cups,"Rs.1,370 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT06_cdd89411-a7fe-4c00-9438-9c262dcc8dd3_1000x.jpg?v=1581402878
41,Vibrant Hibiscus          100G,SKU: BLD35,1. Rich in antioxidants 2. Packed with Vitamin C 3. Good for joints 4. Aids digestion 5. Protects liver 6. Lowers blood pressure 7. Cholesterol.,"Star Anise, Hibiscus, Cloves",100gms = 100cups,Rs. 910 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/VibrantHibiscus_1000x.jpg?v=1597054250
42,Garden Mint and Rose Tea Tin                  50g,SKU: BLD28,1. Improves digestion 2. Boosts respiratory health 3. Relieves stress 4. Improves immunity 5. Aids motion sickness 6. Good for menopause.,"Mint Leaves, French Pink Rose petals",50 gms = 34 cups,Rs. 800 /  tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Gardenmontnrose_1000x.jpg?v=1597919707
43,Lemongrassy Hibiscus Tea Tin         75G,SKU: BLD20,1. Good for the nervous system 2. Cholesterol control 3. Detoxification 4. Blood pressure 5. Blood-sugar levels 6. Packed with vitamin C 7. Carries anti-cancer properties 8. Aids weight loss 9. Boosts immune system.,"Hibiscus, Organic Lemongrass, Cinnamon",75 gms = 37 cups,Rs. 910 /  tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Hibiscus_1000x.jpg?v=1597919921
45,Citrusy & Spicy Nettle Remedy Tea Tin                        50g,SKU: BLD101,"1. High in anti-oxidants 2.Rich in Vitamin C, 3. Promotes anti-aging 4. Good for weight loss, Anti-aging, Detox, Cholesterol control, Dental health, Lowering blood pressure.","Nettle leaves, Orange Peel, Cinnamon, Dry Ginger",50 gms = 25 cups,Rs. 600 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Nettle_1000x.jpg?v=1597919628
46,Three Mini Around The World Green Teas                           3 x 25g,SKU: ST12,"Controls cholesterol, Tooth decay, Good for the heart, Fights nausea, Aids weight loss, Anti-oxidant, Anti-aging, Anti-bacterial.","Chinese Yunnan Loose Leaf Tea, Indian Doors Leaf , Japanese Sencha Loose Leaf Green Teas",25g x 3 Teas,Rs.1050 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Green_Tea_Contrywise_1000x.jpg?v=1580892607
47,White Silver Needle Buds                    50g,SKU: WT01,"Packed with anti-oxidants, Boosts immunity, Weight loss, Relaxation, Aids digestion.",Whole leaves White Tea,50 gms | 50 cups,"Rs.1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT01_1000x.jpg?v=1618036637
49,Olive Branch Tea Blend Tea Tin      50 G,SKU: BLD46,"Aids cardiovascular health, Brain function, Prevents nausea, Relieves motion sickness, Stomach disorders, Good for skin, Hair and detox, Prevents insomnia.","Olive leaves, Lemongrass, French Lavender leaves, Mint",50 gms = 68 cups,Rs. 375 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD46_1000x.png?v=1573887920
50,"The Floral Secret Blooming Tea, 10pcs",SKU: TBL19,"Marigold is also known for its healing properties.Good for eyes, Skin care, Immune system, Promotes relaxation, Relieves stress.",Lily & Marigold tied to tender loose leaf green tea leaves l,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_19_1000x.jpg?v=1615446923
52,The Jasmine Bouquet Blooming Tea                     10pcs,SKU: TBL05,"The breathtaking fragrances and flavours of Jasmine and Lily are known for their healing and uplifting properties Aids weight loss, Packed with anti-oxidants, Promotes relaxation, Good for heart, Relieves stress.",1 lily + 8 jasmine tied to whole tea leaves,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_05_1000x.jpg?v=1615446125
54,Darjeeling Oolong Tea                        75G,SKU: OT11,"Helps Manage Stress,  Loose Weight, Prevent Diabetes, Improve Heart Health, Improve Brain Function, Protect Against Certain Cancers,  Promotes Tooth and Bone Strength, Lower Cholesterol",Whole leaves Oolong Tea,75 gms = 74 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT11_1000x.jpg?v=1617856663
55,Organic Jasmine White Tea                    75G,SKU: JT05,"Packed with anti-oxidants, lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.",Whole leaves Jasmine Tea,75 gms | 75 cups,"Rs.1,550 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09886_1000x.jpg?v=1633932797
58,Jasmine Tea                  100G,SKU: JT02,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.",Whole leaves Jasmine Tea,100 gms | 100 cups,"Rs.1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09880_1000x.jpg?v=1633932611
59,Dooars             200G,SKU: GT41,"Packed with anti-oxidants, Good for weight loss, Anti-aging, Detox, Cholesterol control, Dental health, Lowering blood pressure.",Whole leave green tea,200 gms | 200 cups,"Rs.1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT41_16072c49-df12-4b5f-b524-25c1ae2dbd03_1000x.jpg?v=1612432871
60,Sri Lankan Orange Pekoe 1 Ceylon Spring Loose Leaf Black Tea Tin   150G,SKU: BT07,"Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,150 gms | 99 cups,"Rs. 1,400 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT12_1000x.jpg?v=1581403303
62,Three Mini Around The World Black Teas                       3 x 25g,SKU: ST31,"Good for cholesterol, Cardiovascular health, Stress relief, Boosts weight loss, Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health,","25g  Ceylon Black Tea, 25g Organic Darjeeling 2nd  Flush Black Tea, 25g Chinese Yunnan Black Tea, known as Mocha of tea",25g x 3 Teas,"Rs.1,000 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT01_08_25_A_1000x.jpg?v=1581499046
63,Bombay Spiced Chai Tea Tin                100G,SKU: BLD30,"Good for menopause, Promotes liver health, Carries anti-anxiety, Anti-aging properties, Improves memory, Helps fight cancer.","Star Anise, Cloves, Cardamom, Cinnamon",100 gms = 100 Cups,Rs. 910 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Bombayspicedtea_1000x.jpg?v=1609227854
64,"Infinity Pool Loose Leaf Tea Blend Tin, 150G",SKU: BLD57,"Reduces bad cholesterol, Good for blood pressure, Aids digestive system, Powers the immune system, Protects liver, Works as an anti-depressant, Aids weight loss, Promotes skin care.","Hibiscus, Orange Peel, Rosehip",150 gms | 75 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD57_1000x.jpg?v=1609227545
65,Three Mini Around the World Oolong Teas               3x25g,SKU: ST22,"May Help Manage Stress, Loose Weight, Prevent Diabetes, Improve Heart Health and Brain Function, Lower Cholesterol, Promotes Tooth and Bone Strength
","25g  Darjeeling Oolong Loose Leaf,  25g  Chinese Tie Guan Yin Oolong Spring- Argent Loose Leaf, 25g Classic Taiwanese Argent Loose Leaf Oolong Tea",25g x 3 Teas,"Rs.1,400 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT01_06_11_1000x.jpg?v=1580902608
66,Organic Smoky Assamese Whole Leaf Green Tea     150g,SKU: GT39,"Good for lungs, Clears chest congestion, Controls cholesterol levels, Promotes cardiovascular health, Packed with anti-oxidants.",Whole leave green tea,150 gms | 150 cups,"Rs.1,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT39_7c523ca8-20dc-4423-a892-f97ea260deb5_1000x.jpg?v=1612432580
67,Sri Lankan Organic Orange Pekoe Loose Leaf Black Tea Tin             100G,SKU: BT09,"Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 66 cups,"Rs.1,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT09_1000x.jpg?v=1581416346
70,Nanis(Grandmas )Herbal Chai                    100G,SKU: BLD72,1. Rich in antioxidants 2. Good for cough and cold 3. Good for joints 4. Good for nervous system 5. Prevents sleep disorders 6. Aids digestion 7. Boosts energy 8. Promotes detoxification 9. Weight loss.,"Black Ginger, Long Pepper, Clove, Star Anise, Lemongrass","Tea Tin, 100 gms = 76 Cups","Rs.1,550 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Nani_sSpecial_1000x.jpg?v=1609228651
71,Blooming Love  Tea   10 pcs,SKU: TBL17,"Good for immune system, Cardiovascular health, Digestion, Cholesterol control, Packed with anti-oxidants.",Each bloom is made of 1 Gomphrena Globosa +2 Camellia tied to tender green tea leaves,10 pcs | 30 cups,"Rs.1,550 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_17_1000x.jpg?v=1615446821
72,"Sri Lankan Orange Pekoe 1 Ceylon Spring Loose Leaf Black Tea Tin, 150G",SKU: BT12,"Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,150 gms | 99 cups,"Rs. 1,100 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT12_1000x.jpg?v=1581403303
73,Heritage Spice               75G,SKU: BLD96,1. Promotes detoxification 2. Relieves stress 3. Fights against diabetes 4. Reduces arthritis 5. Asthma 6. Good for motion sickness 7. Menstrual discomfort 8. Aids kidney function 9. Treats stomach disorders.,"Ashwagandha, Nettles Root, Ginger","Tea Tin, 75gms = 37 cups",Rs. 780 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HeritageSpice_1000x.jpg?v=1597054028
74,"Flowering Glories Blooming Tea, 10 pcs",SKU: TBL13,"Trumpet Flower is known to be a symbol of gratitude. Good for digestion, Lowers cholesterol level, Improves vision, Prevents bronchitis and hypertension.",1 globeflower +2 trumpet flower petals tied to tender green tea leaves,10 pcs | 30 cups,"Rs.1,570 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_13_1000x.jpg?v=1615446550
75,"Sri Lankan Ceylon Loose Leaf Black Tea Tin, 200G",SKU: BT11,"Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,200 gms | 132 cups,"Rs.1,100 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT11_1000x.jpg?v=1581403231
