,title,health,ingredients,weight,price,image
34,"The Floral Secret Blooming Tea, 10pcs","In addition to being a fragrant essential for countless rituals, Marigold is also known for its healing properties. In this soothing tea, it meets the musky scents of Lilies, one of the oldest known cultivated plants to create an unforgettable tea experience. Young green tea leaves delicately come together with 1 Lily and 1 Marigold flowers in this blooming beauty.Our aromatic Lily and Marigold blooms are delicately hand woven with care, and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses. When the tea bloom is dropped in freshly boiled water, it “blooms” magically in your teapot or glass like a flower.Taste NotesA rejuvenating tea with a sweet and floral mouthfeel.Multiple InfusionsDon't throw away your tea after steeping it! One of the greatest advantage of drinking whole leaf tea is that each serving of leaves can be re-steeped many times.This tea can be re-steeped 3 times. We recommend using 1 Piece of this whole leaf tea for 150ml of water10 Pcs= 30 Cups of teaWe recommend returning to any used tea leaves within the day.Good for eyes, Skin care, Immune system, Promotes relaxation, Relieves stress.",1 lily + 1 marigold,10 pcs | 30 cups,"Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_19_1000x.jpg?v=1615446923
35,Angelic Lavender Breeze,1. Promotes relaxation 2. Prevents digestive issues 3. Detoxifies the body 4. Good for the nervous system 5. Lowers cholesterol 6. Prevents insomnia 7. Improves memory.,"Lemongrass, Rosemary, French Lavender","Tea Tin, 50gms = 34 cups",Rs.499,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/LavenderBrezze_1000x.jpg?v=1597053307
36,"The Jasmine Bouquet Blooming Tea,  10pcs","The breathtaking fragrances and flavours of Jasmine and Lily are known for their healing and uplifting properties and take you in for a serene therapy when infused with your tea. Delicate green tea leaves are intricately wrapped with the aromatic blooms of 1 Lily and 8 Jasmine flowers in this refreshing blooming tea.Our Jasmine and Lily flowers are delicately hand woven with care and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses. When the tea bloom is dropped in freshly boiled water, it “blooms” magically in your teapot or glass like a flower.Taste NotesA therapeutic honey sweet taste with floral and vegetal flavours and aromas.Multiple InfusionsDon't throw away your tea after steeping it! One of the greatest advantage of drinking whole leaf tea is that each serving of leaves can be re-steeped many times.This tea can be re-steeped 3 times. We recommend using 1 Piece of this whole leaf tea for 150ml of water10 Pcs= 30 Cups of teaWe recommend returning to any used tea leaves within the day.Aids weight loss, Packed with anti-oxidants, Promotes relaxation, Good for heart, Relieves stress.",1 lily + 8 jasmine,10 pcs | 30 cups,"Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_05_1000x.jpg?v=1615446125
37,"Chinese Yunnan Loose Leaf Black Tea Tin, 100G","Controls cholesterol, Tooth decay, Good for the heart, Fights nausea, Aids weight loss, Anti-oxidant, Anti-aging, Anti-bacterial.",Whole leaves Black Tea,100 gms | 100 cups,Rs.599,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT01_1000x.jpg?v=1609226591
38,"Three Mini Famous Japanese Green Tea, 3x25g",,,25g x 3 Teas,"Rs.1,297",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT03_65_66_1000x.jpg?v=1580895965
39,"The great green rooibos tea, mini tin sampler pack - 25g","Packed with anti-oxidants, Aids weight loss, Promotes skin care, Improves digestion, Good for heart, Reduces hypertension, Anti-aging.","Organic Green Rooibos, Cinnamon, Kaffir Lime Leaf",25 gms | 25 Cups,Rs.299,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC01978-01-01_1000x.jpg?v=1585733837
40,Delightful Rose Green,1. Good for skin 2. Improves liver health 3. Carries anti-anxiety 4. Anti-aging properties 5. Improves brain function 6. Dental health 7. Aids weight loss 8. Packed with antioxidants.,"Bi Luo Chun Green Tea, French Pink Rose buds","Tea Tin, 75gms = 99 cups","Rs.1,599",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DelightfulRoseGreen_1000x.jpg?v=1597053778
41,Delicious Red Rooibos Herbal Tea,"Packed with anti-oxidants, Anti-aging properties, Improves cholesterol, Weight loss, Reduces hypertension.",,200 gms | 152 cups,"Rs.1,399",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT04_3_1000x.jpg?v=1630317089
42,"Matcha Spring, 100g","High in anti-oxidants, Fights cancer, Calming, boosts memory, Burns calories, Detoxifies the body, Lowers cholesterol, Blood sugar.",Matcha Powder,100 gms | 34 cups,"Rs.1,599",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC03090_1000x.jpg?v=1615201265
43,"Coldplay Iced Tea Tin, 30 pcs","Good for nervous system, lowers... 
                More Details","Hibiscus, Organic Lemongrass, Cinnamon",30 pcs | 30 cups,"Rs.1,249",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-02-2_1000x.jpg?v=1640179955
44,Opposites Attract Tea Blend,"Packed with anti-oxidants Removes toxins, Good for nervous system, Lowers cholesterol, Promotes detoxification, Possesses anti-anxiety, Anti-aging properties.","Organic White Bai Mudan leaves, Bulgarian Red Rose petals, Jammu Lemongrass","Tea Pouch, 50 gms = 50 cups",Rs.875,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD03_1000x.png?v=1573886431
45,Loved Forever,,,Tea Care Packages,"Rs.2,757",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/6_fd893d9d-2cc3-47f0-b98f-4646639ee8f0_1000x.jpg?v=1581594562
46,"Darjeeling Oolong Tea, 75G",May Help Manage Stress  May Help You Loose Weight  May Help Prevent Diabetes  May Improve Heart Health  May Improve Brain Function  May Protect Against Certain Cancers  Promotes Tooth and Bone Strength  May Help Lower Cholesterol,Whole leaves Oolong Tea,75 gms = 74 cups,"Rs.1,149",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT11_1000x.jpg?v=1617856663
