,title,50,100,200,250,500,price,image,features
32,"Combo of 100 gm of each Cardamom, Clove, Ceylon Cinnamon and Black Pepper",,,,,Rs. 1949,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_4_1_x360.jpg?v=1623594245,"Collected from farmers and tribal people. Processed and packed in a traditional way.
Free from pesticides and other chemical impurity."
33,"Premium Black Cardamom Large – 100 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches) (in glass jar)",,Rs. 519,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/BlackCardamomWhole_x360.jpg?v=1623564632,"Premium & Limited edition Single Origin Black Cardamom Whole is sourced from the organic farmers of Arunachal Pradesh
"
34,Premium Quality Single Origin Mace Whole  - 50 gm (glass jar),Rs. 519,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/MaceWhole_Jati-patri_x360.jpg?v=1623598543,100% Pure Premium Quality Mace Whole
35,Combo Offer of Black Pepper & White Pepper whole - 100 gm each,,,Rs. 989,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/white-pepper-black-pepper-wooden-spoon-isolated-white-surface_x360.jpg?v=1622259245," Of single-origin and small batch products, organically grown and sourced from fair trade farmers.
Good source of dietary fibre, as well as an excellent source of manganese, iron, and vitamin K. "
36,Dry Ginger Root Whole (Organically grown & Single Origin produce) ,,,Rs. 519,,Rs. 909,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/DryGingerWhole_fd76050c-e8a1-40eb-8d2c-32260e3368a7_x360.jpg?v=1623648104,"Organically grown & sourced from a fair trade certified farmer in Wayanad, Kerala. Authentic source and is a local variety called ‘Maran’.  No hybrid variety is used. Fresh ginger root’s skin is peeled, washed three times, sliced nicely and dried in a solar dryer. 0% pesticide, insecticide, fungicide, preservatives, and flavours. "
37,Premium Quality Mustard Whole - (Organically Grown & Single Origin),,Rs. 389,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/MustardWhole_1_x360.jpg?v=1623682098,"Non-GMO, Vegan, Gluten-free Premium Gourmet Food Grade Spice Whole"
38,"Premium Indian Bay Leaf Whole – 50 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches) (in glass jar)",Rs. 259,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/IndianBayLeaf_x360.jpg?v=1623566387,Premium & Limited edition Single Origin Indian Bay Leaf Whole
39,Monthly Economy Combo pack of Spice Whole,Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_2_43253c36-b101-4002-9f14-7e6efc28e598_x360.jpg?v=1623601112,Spice Combo for your family. All are organically grown spices and sourced from single farm
40,"Premium Tamarind Whole – 200 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches) (in glass jar)",,,Rs. 519,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Tamarind_0ef83e19-d31a-483c-9ea0-c932d2c3c1a4_x360.jpg?v=1623567296,"Premium & Limited edition Single Origin. Ethically sourced from organic and fair trade farmers from the homesteads of a forest side Western Ghats region village in the Wayanad district of Kerala.
Handpicked and sundried. Following the rules of permaculture, this produce is grown and secured without harming the natural ecosystem
"
41,Dried Bird's Eye Thai Chilli  (Ripened and Dried),,Rs. 909,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/81HP8zu8XNL._SL1500_x360.jpg?v=1622006745,"Finest graded homestead spice from organic farmer’s network in Wayanad.
100% Natural, Organically Grown, fair traded and ethically sourced from Western Ghats of Kerala, the world’s best quality Kanthari Chilli are growing in this ancient mountain region.                                                                Non-GMO, No Preservatives, Vegan, Gluten-free premium Gourmet Grade Spice. No added colours, preservatives, additives or chemicals
Handpicked and  hygienically packed."
42,"Premium Raw Fermented Cocoa Bean Whole – 200 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CocoaBeanWhole_Dried_Fermented_x360.jpg?v=1623682391,"Premium & Limited edition Single Origin Raw Fermented Cocoa Bean Whole from the homesteads of an organic farmer, Thomas P J at Maruthonkara village in Calicut district of Kerala, strictly following the rules of permaculture, without harming the natural ecosystem.

"
43,"Premium Dry Ginger Whole – 100 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches",,Rs. 389,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/DryGingerWhole_x360.jpg?v=1623565933,Premium & Limited edition Single Origin Dry Ginger Whole
44,"Special Gift Box of 5 Kerala Spices - 50 gm of Cardamom, Black Pepper, Kerala Cinnamon, Clove & Mace",Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_1_19378996-617c-45f1-8047-4f3b69e3f5f6_x360.jpg?v=1623587368,An ideal  Box of Kerala Spices for gifting with premium quality spices.
45,Dried Bird's Eye  /Thai Chilli,Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/kantharichilli_x360.jpg?v=1623164835,"Finest graded homestead spice from organic farmers network in Wayanad.
Handpicked, hygienically packed, No added colours, preservatives, additives or chemicals
Hotness range from 50,000- 1,00,000 SHU( Scoville heat units). Has medicinal properties including the capacity to reduce hypertension and cholesterol.
"
46,"Gift Pack of Indian Spices - (Cardamom, Clove, Black Pepper, Ceylon Cinnamon, Nutmeg Whole, Black Cardamom & Allspice)",Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/02_6ba13cf3-54ff-4dc0-9e0a-e93cce5a6ea4_x360.jpg?v=1630596655,"Premium gift box of exotic and pure finest grade authentic,  packed with natural flavors and aroma. Carefully handpicked from the homesteads of Western Ghats to spice up, refresh, and bring life to your favorite cuisines.
100% authentic organically grown, single origin, farm direct produce, GMO-free, with no preservatives or additives.
Perfect gift hamper for your friends, family, co-workers, clients, or anyone else you love & care about! "
47,"Gift Pack of Indian Spices - (Cardamom, Clove, Black Pepper, Ceylon Cinnamon & Nutmeg Whole)",Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/01_c1043ae2-9a01-406b-85d2-a3edebb9a2a0_x360.jpg?v=1630596376,"Premium, Gourmet high-quality Kerala  whole Spice- Fresh and pure finest grade spices packed with natural flavors and aroma to spice up your taste buds and bring authentic taste to all your favourite cuisine.                 100% authentic, organically grown, of single origin, farm direct produce, GMO-free, with no preservatives or additives, carefully handpicked from the homesteads of the Western Ghats.
Perfect gift hamper of flavourful, healthy authentic Indian to spice up the festivities."
48,"Premium Special Extra Bold White Peppercorns Whole – 100 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",,Rs. 519,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/SpecialExtraBoldWhitePeppercornsWhole_x360.jpg?v=1623586387,Glass Jar contents: Premium & Limited edition Single Origin White Peppercorns Whole– 100 gm Ingredients: White Peppercorns Whole/Poivre blanc/Weißer Pfeffer/Alfilfil al'abyad/ Safed mirch)
49,"Premium Garlic Whole – 100 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",,Rs. 389,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Garlic_faa15b64-3756-4bb3-bcfd-d4f1d768a838_x360.jpg?v=1623594831,Handpicked whole garlic  sourced from selected organic farmers of North Karnataka.
50,"Premium Dry Lakadong Turmeric Slices – 100 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",,Rs. 389,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/DryLakadonghTurmericslices2_x360.jpg?v=1611402988," Premium & Limited edition Single Origin, sourced from a woman organic farmer, Flavia Gracia in the East Jaintia hills of Meghalaya
Lakadong turmeric, world’s best turmeric variety with very high 6-7% curcumin  content is sourced from the Lakadong village of Meghalaya. This turmeric is known for its medicinal values and is used in                                     Ayurveda as well as everyday cooking for boosting immunity and promoting good health.

"
51,"Premium Dry Turmeric Whole – 100 gm (Single Origin, Farm Direct Produce, organically Grown & Made in small batches)",,Rs. 389,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/DryTurmericWhole_x360.jpg?v=1623565919,"Premium & Limited edition Single Origin Dry Turmeric is the handpicked, dried, cleaned and polished rhizomes of Curcuma Longa. This special edition of Alleppey finger turmeric is specially selected from the high yielding local variety commonly grown in Western Ghats region.
Homestead produce from an organic and fair trade farmer, Ravi, at Moolankavu of Wayanad district in Kerala. He follows permaculture based farming in his homestead and make sure no harm is done to the natural ecosystem.

"
52,"Whole White Pepper (Organically Grown, Single Origin & Homestead Produce)",,Rs. 519,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/whitepepper100gm_x360.jpg?v=1625040779," Special graded, sourced from a fair traded and organic certified farmer based in Wayanad, Kerala. Made in small batches. No oil extracted spice is used for making powder.
White pepper is used for almost all types of food in all cultures. It is used as a seasoning or used in dressings for salads, chicken, or fish, in white sauce, gravies, soups, stews, sauces.                                                                                     Organic, pesticide free, chemical free, Non- GMO, Non-ETO, Vegan, Gluten free."
53,Premium Single Origin Alleppey Green Cardamom Whole (Premium 8 mm Extra Bold)/ - 100gm (in Glass JAR),,Rs. 1039,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/1_60caaa29-fb84-4c23-824a-ac807f480ec8_x360.jpg?v=1643970420,"The Oueen of all spices, Cardamom - the exotic spice with complex flavours, is Kerala’s pride.                                                                                                                                                                                                                    The best quality ‘Thiruthali’ variety, Premium Quality Single Origin, 8 mm Extra Bold
Farm Direct Produce, Permaculture based, organically grown produce handpicked  from the farm of Sarad Patil, at Anakkara in Idukki district of Kerala."
54,"Premium Carom Seed / Bishop’s Weed Whole – 100 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",,Rs. 389,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/AjwainSeedsWhole2_x360.jpg?v=1611403425,"Premium & Limited edition Single Origin Bishop’s Weed (Carom) Whole. These seeds impart a rich aroma and a subtle taste to  dishes of Indian. These finest quality ajwain seeds are sourced from selected organic farmers of Gujarat.


"
55,"Premium Curry Leaves Whole (Dried)– 50 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",,Rs. 389,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CurryLeavesWhole_x360.jpg?v=1623565576,"Premium & Limited edition Single Origin Curry Leaves Whole collected from the homestead of certified organic farmers of Kerala, dried in shade and packed in flavour locked jar
Handpicked, homestead produce from an organic and fair trade farmer, Ravi at Moolankavu in Wayanad district of Kerala;  following the rules of permaculture, this produce is grown and secured without harming the natural ecosystem.

"
56,"Premium Brindleberry (Malabar Whole) – 200 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Brindleberry_MalabarTamarind_x360.jpg?v=1623564736,"Premium & Limited edition Single Origin. Carefully handpicked and sundried.                                                                                                                                                                                                                                          Sourced from  geographically blessed Western Ghats mountain ranges that brings the best available Malabar Tamarind.
High quality produce from the homestead of an organic farmer, Wilson at a small hilly village of Muttathuplavu in Calicut district of Kerala. He follows the rules of permaculture in his cultivation land and make sure no harm is done to our natural ecosystem

"
57,"World’s Finest Gourmet Premium Vanilla Whole - 10 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/GourmetPremiumVanillaWhole_259c44e4-7964-4f38-9cfb-43c858722250_x360.jpg?v=1623647932,"Premium & Limited edition Single Origin Gourmet Grade Vanilla Pods.
Vanilla is the fruit of a variety of orchid plant. Its dried pods are used to add flavour to sauce, ice cream, beverages and desserts"
58,"Premium Dry Allspice Whole – 100 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",,Rs. 519,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/AllspiceWhole_647ce24a-0733-4e75-9633-b72421f81e54_x360.jpg?v=1623564274," Premium & Limited edition Single Origin Dry Allspice Whole - made from the dried berries of Pimenta dioica. The flavor of allspice is the combination of cinnamon, cloves, nutmeg, and pepper;  is widely used both in cooking and baking.
Handpicked, homestead produce, sourced from an organic and fair trade farmer, Ravi, at Moolankavu of Wayanad district in Kerala. He follows permaculture based farming in his homestead and make sure no harm is done to the natural ecosystem
"
59,"Premium Bird’s Eye / Thai Chilli  Dried – 100 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",,Rs. 808,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Bird_sEyeChilliKanthariChilli_x360.jpg?v=1623564504," Premium & Limited edition Single Origin; sourced form the homestead of certified organic farmers of Kerala. 
Homestaed produce from an organic fair trade farmer, Ravi at Moolankavu in Wayanadu district of kerala. Following the rules of permaculture, this produce is grown and secured  without harming the natural ecosystem.
"
60,"Premium Dry Long Pepper Whole – 100 gm (Single Origin, Farm Direct Produce, organically Grown & Made in small batches)",,Rs. 519,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/LongPepperWhole_x360.jpg?v=1623566787,"Long pepper, an essential ingredient of ayurvedic medicines is sourced from Western Ghats region of Kerala.
This handpicked homestead produce is sourced from an organic and fair trade farmer, Ravi, at Moolankavu of Wayanad district in Kerala. He follows permaculture based farming in his homestead and make sure no harm is done to the natural ecosystem
"
61,"Gift Pack of 5 Indian Spices - 100 gm Each Cardamom, Clove, Cinnamon Stick, Black Pepper, Mace",,,,,Rs. 2691,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_1_x360.jpg?v=1623587214,"Homestead spices from Western Ghats region of Kerala
Collected from farmers who practice organic way of cultivation and also in the fair trade network. Processed and packed in a traditional way. Free from pesticides and other chemical impurity.
"
62,Combo offer of Allspice Whole and Black Pepper Whole - 100 gm each,Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/allspice-wooden-bowl-black-pepper-isolated-white-background_x360.jpg?v=1622259988,"Sourced from organic and fair trade farmers of Kerala
Single origin and  small batched products
"
63,"Premium Chilli Whole – 50 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",Rs. 389,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/ChilliWhole_x360.jpg?v=1623564827," Premium & Limited edition Single Origin,  Carefully sourced from organic farmers of Guntur of Andra Pradesh who follow the rules of permaculture, this produce is grown and secured without harming the natural ecosystem."
